id,state,county,rate
05111,Arkansas,Poinsett County,1.5
05113,Arkansas,Polk County,1.5
05115,Arkansas,Pope County,1.5
05117,Arkansas,Prairie County,1.5
72076,Arkansas,Pulaski County,12
05121,Arkansas,Randolph County,1.5
05123,Arkansas,St. Francis County,1.5
05125,Arkansas,Saline County,1.5
05127,Arkansas,Scott County,1.5
05129,Arkansas,Searcy County,1.5
05131,Arkansas,Sebastian County,1.5
05133,Arkansas,Sevier County,1.5
05135,Arkansas,Sharp County,1.5
05137,Arkansas,Stone County,1.5
05139,Arkansas,Union County,1.5
05141,Arkansas,Van Buren County,1.5
72701,Arkansas,Washington County,5
05145,Arkansas,White County,1.5
72074,Arkansas,Woodruff County,2
05149,Arkansas,Yell County,1.5
94538,California,Alameda County,216
06003,California,Alpine County,1.5
06005,California,Amador County,1.5
95929,California,Butte County,2
06009,California,Calaveras County,1.5
06011,California,Colusa County,1.5
94547,California,Contra Costa County,10
06015,California,Del Norte County,1.5
06017,California,El Dorado County,1.5
93740,California,Fresno County,2
06021,California,Glenn County,1.5
06023,California,Humboldt County,1.5
06025,California,Imperial County,1.5
06027,California,Inyo County,1.5
06029,California,Kern County,1.5
06031,California,Kings County,1.5
06033,California,Lake County,1.5
06035,California,Lassen County,1.5
90024,California,Los Angeles County,171
06039,California,Madera County,1.5
06041,California,Marin County,1.5
06043,California,Mariposa County,1.5
06045,California,Mendocino County,1.5
06047,California,Merced County,1.5
06049,California,Modoc County,1.5
06051,California,Mono County,1.5
06053,California,Monterey County,1.5
06055,California,Napa County,1.5
06057,California,Nevada County,1.5
92697,California,Orange County,18
06061,California,Placer County,1.5
06063,California,Plumas County,1.5
92502,California,Riverside County,29
94248,California,Sacramento County,6
06069,California,San Benito County,1.5
91701,California,San Bernardino County,4
91905,California,San Diego County,132
94107,California,San Francisco County,27
95366,California,San Joaquin County,2
93430,California,San Luis Obispo County,2
94025,California,San Mateo County,13
93106,California,Santa Barbara County,26
94035,California,Santa Clara County,104
95064,California,Santa Cruz County,3
06089,California,Shasta County,1.5
06091,California,Sierra County,1.5
06093,California,Siskiyou County,1.5
06095,California,Solano County,1.5
06097,California,Sonoma County,1.5
06099,California,Stanislaus County,1.5
06101,California,Sutter County,1.5
06103,California,Tehama County,1.5
06105,California,Trinity County,1.5
06107,California,Tulare County,1.5
06109,California,Tuolumne County,1.5
06111,California,Ventura County,1.5
95616,California,Yolo County,58
06115,California,Yuba County,1.5
80045,Colorado,Adams County,3
81101,Colorado,Alamosa County,2
08005,Colorado,Arapahoe County,1.5
08007,Colorado,Archuleta County,1.5
08009,Colorado,Baca County,1.5
08011,Colorado,Bent County,1.5
80027,Colorado,Boulder County,47
08014,Colorado,Broomfield County,1.5
08015,Colorado,Chaffee County,1.5
08017,Colorado,Cheyenne County,1.5
08019,Colorado,Clear Creek County,1.5
08021,Colorado,Conejos County,1.5
08023,Colorado,Costilla County,1.5
08025,Colorado,Crowley County,1.5
08027,Colorado,Custer County,1.5
08029,Colorado,Delta County,1.5
80208,Colorado,Denver County,4
08033,Colorado,Dolores County,1.5
80125,Colorado,Douglas County,24
08037,Colorado,Eagle County,1.5
08039,Colorado,Elbert County,1.5
08041,Colorado,El Paso County,1.5
08043,Colorado,Fremont County,1.5
08045,Colorado,Garfield County,1.5
08047,Colorado,Gilpin County,1.5
08049,Colorado,Grand County,1.5
08051,Colorado,Gunnison County,1.5
08053,Colorado,Hinsdale County,1.5
08055,Colorado,Huerfano County,1.5
08057,Colorado,Jackson County,1.5
80401,Colorado,Jefferson County,3
08061,Colorado,Kiowa County,1.5
08063,Colorado,Kit Carson County,1.5
08065,Colorado,Lake County,1.5
08067,Colorado,La Plata County,1.5
80521,Colorado,Larimer County,26
08071,Colorado,Las Animas County,1.5
08073,Colorado,Lincoln County,1.5
08075,Colorado,Logan County,1.5
08077,Colorado,Mesa County,1.5
08079,Colorado,Mineral County,1.5
08081,Colorado,Moffat County,1.5
08083,Colorado,Montezuma County,1.5
08085,Colorado,Montrose County,1.5
08087,Colorado,Morgan County,1.5
08089,Colorado,Otero County,1.5
08091,Colorado,Ouray County,1.5
08093,Colorado,Park County,1.5
08095,Colorado,Phillips County,1.5
08097,Colorado,Pitkin County,1.5
08099,Colorado,Prowers County,1.5
08101,Colorado,Pueblo County,1.5
08103,Colorado,Rio Blanco County,1.5
08105,Colorado,Rio Grande County,1.5
